pattern,zone,vehicle,nbox,mass,volume,combinations,ub,prep_load_s,handoff_s,operation_s,battery,rho_crit,energy,horizontal_energy,climb_energy,out_s,back_s,fly_s,counts
P00547,S007,B,2,11.0,0.04,1,1,360.0,210.0,1576.3096400610816,4.0,0.6213734377747333,1.5145062489010668,1.3637588035078223,0.15074744539324444,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T0"": 1, ""S007:T2"": 1}"
P00548,S007,C,2,11.0,0.04,1,1,360.0,252.0,1709.6006984106912,8.0,0.6261388836532935,2.990888930773652,2.8299834532419643,0.16090547753168744,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T2"": 1}"
P00549,S007,B,3,25.0,0.067,2,1,390.0,240.0,1636.3096400610816,4.0,0.5549715113545852,1.7801139545816593,1.6090053680382583,0.17110858654340108,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T0"": 1, ""S007:T2"": 1, ""S007:T3"": 1}"
P00550,S007,C,3,25.0,0.067,2,1,390.0,288.0,1775.6006984106912,8.0,0.6104076227976982,3.1167390176184138,2.93547239893657,0.18126661868184407,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T2"": 1, ""S007:T3"": 1}"
P00551,S007,C,4,39.0,0.094,1,1,420.0,324.0,1841.6006984106912,8.0,0.5868321320167802,3.305342943865759,3.1037151840337582,0.20162775983200076,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T2"": 1, ""S007:T3"": 2}"
P00552,S007,A,2,9.0,0.047,1,1,360.0,210.0,1727.4668858917819,4.5,0.5938763639050948,1.8275563624270736,1.669352312567073,0.1582040498600006,571.3734429458909,586.093442945891,1157.4668858917819,"{""S007:T0"": 1, ""S007:T1"": 1}"
P00553,S007,B,2,9.0,0.047,1,1,360.0,210.0,1576.3096400610816,4.0,0.6268628807037679,1.492548477184928,1.344709766241706,0.14783871094322204,495.79482003054085,510.5148200305408,1006.3096400610816,"{""S007:T0"": 1, ""S007:T1"": 1}"
P00554,S007,C,2,9.0,0.047,1,1,360.0,252.0,1709.6006984106912,8.0,0.6278087707575855,2.977529833939316,2.819533090857651,0.15799674308166506,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T1"": 1}"
P00555,S007,C,3,23.0,0.074,2,1,390.0,288.0,1775.6006984106912,8.0,0.613093036224702,3.0952557102023843,2.9168978259705627,0.1783578842318217,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T1"": 1, ""S007:T3"": 1}"
P00556,S007,C,4,37.0,0.101,1,1,420.0,324.0,1841.6006984106912,8.0,0.5907735048133258,3.2738119614933936,3.075092936111415,0.19871902538197836,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T1"": 1, ""S007:T3"": 2}"
P00557,S007,C,3,17.0,0.075,1,1,390.0,288.0,1775.6006984106912,8.0,0.6202597372891493,3.0379221016868057,2.8682904208050513,0.16963168088175457,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T1"": 1, ""S007:T2"": 1}"
P00558,S007,C,4,31.0,0.10200000000000001,2,1,420.0,324.0,1841.6006984106912,8.0,0.6013911617248213,3.18887070620143,2.9988778841695187,0.1899928220319112,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T1"": 1, ""S007:T2"": 1, ""S007:T3"": 1}"
P00559,S007,C,5,45.0,0.129,1,1,450.0,360.0,1907.6006984106912,8.0,0.5736155447680221,3.411075641855823,3.200721678673755,0.21035396318206787,537.7603492053455,559.8403492053455,1097.6006984106912,"{""S007:T0"": 1, ""S007:T1"": 1, ""S007:T2"": 1, ""S007:T3"": 2}"
P00560,S008,A,1,14.0,0.027,2,2,330.0,180.0,2111.145428801986,4.5,0.3007787323743427,3.1464957043154578,3.041514181691336,0.1049815226241218,795.7993810676595,805.3460477343262,1601.1454288019859,"{""S008:T3"": 1}"
P00561,S008,B,1,14.0,0.027,2,2,330.0,180.0,1841.8417471757034,4.0,0.35265753539048494,2.5893698584380602,2.490958966792417,0.09841089164564347,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T3"": 1}"
P00562,S008,C,1,14.0,0.027,2,2,330.0,216.0,1935.7115246008334,8.0,0.3526719978564765,5.178624017148188,5.073773907143636,0.10485011000455222,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T3"": 1}"
P00563,S008,B,2,28.0,0.054,1,1,360.0,210.0,1901.8417471757034,4.0,0.2133406650527212,3.146637339789115,3.0352337592180465,0.11140358057106865,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T3"": 2}"
P00564,S008,C,2,28.0,0.054,1,1,360.0,252.0,2001.7115246008334,8.0,0.32480656203295344,5.4015475037363725,5.283704704806395,0.11784279892997745,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T3"": 2}"
P00565,S008,A,1,8.0,0.028,1,1,330.0,180.0,2111.145428801986,4.5,0.31944004484483457,3.0625197981982444,2.9631065708278763,0.0994132273703681,795.7993810676595,805.3460477343262,1601.1454288019859,"{""S008:T2"": 1}"
P00566,S008,B,1,8.0,0.028,1,1,330.0,180.0,1841.8417471757034,4.0,0.3816133076455426,2.4735467694178297,2.38070417302594,0.09284259639188977,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T2"": 1}"
P00567,S008,C,1,8.0,0.028,1,1,330.0,216.0,1935.7115246008334,8.0,0.360736996401809,5.114104028785528,5.014822214034729,0.09928181475079857,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T2"": 1}"
P00568,S008,A,2,22.0,0.055,2,1,360.0,210.0,2171.145428801986,4.5,0.26478565736103876,3.3084645418753253,3.196058625579532,0.11240591629579334,795.7993810676595,805.3460477343262,1601.1454288019859,"{""S008:T2"": 1, ""S008:T3"": 1}"
P00569,S008,B,2,22.0,0.055,2,1,360.0,210.0,1901.8417471757034,4.0,0.2902077825617504,2.8391688697529984,2.7333335844356834,0.10583528531731501,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T2"": 1, ""S008:T3"": 1}"
P00570,S008,C,2,22.0,0.055,2,1,360.0,252.0,2001.7115246008334,8.0,0.3383349617897682,5.2933203056818545,5.181045802005631,0.11227450367622376,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T2"": 1, ""S008:T3"": 1}"
P00571,S008,C,3,36.0,0.082,1,1,390.0,288.0,2067.7115246008334,8.0,0.30255978648284865,5.579521708137211,5.4542545155355615,0.12526719260164898,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T2"": 1, ""S008:T3"": 2}"
P00572,S008,A,1,6.0,0.035,1,1,330.0,180.0,2111.145428801986,4.5,0.32420955774184756,3.0410569901616857,2.9434998612092356,0.09755712895245024,795.7993810676595,805.3460477343262,1601.1454288019859,"{""S008:T1"": 1}"
P00573,S008,B,1,6.0,0.035,1,1,330.0,180.0,1841.8417471757034,4.0,0.3886727075830987,2.4453091696676053,2.3543226716936334,0.0909864979739719,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T1"": 1}"
P00574,S008,C,1,6.0,0.035,1,1,330.0,216.0,1935.7115246008334,8.0,0.36287665545791525,5.096986756336678,4.9995610400037975,0.09742571633288068,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T1"": 1}"
P00575,S008,B,2,20.0,0.062,2,1,360.0,210.0,1901.8417471757034,4.0,0.30913332177330566,2.7634667129067774,2.6594875260073803,0.10397918689939711,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T1"": 1, ""S008:T3"": 1}"
P00576,S008,C,2,20.0,0.062,2,1,360.0,252.0,2001.7115246008334,8.0,0.3423034883171432,5.2615720934628545,5.151153688204548,0.11041840525830589,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T1"": 1, ""S008:T3"": 1}"
P00577,S008,C,3,34.0,0.089,1,1,390.0,288.0,2067.7115246008334,8.0,0.3086162635867836,5.531069891305731,5.407658797122,0.1234110941837311,687.6957623004168,702.0157623004167,1389.7115246008334,"{""S008:T1"": 1, ""S008:T3"": 2}"
P00578,S008,B,2,14.0,0.063,1,1,360.0,210.0,1901.8417471757034,4.0,0.35265753539048494,2.5893698584380602,2.490958966792417,0.09841089164564347,661.1475402545183,670.694206921185,1331.8417471757034,"{""S008:T1"": 1, ""S008:T2"": 1}"
